genre,date,popularity
Adventure,1982,0.097541502
Comedy,1982,0.213779567
Concert,1982,0
Documentary,1982,0
Drama,1982,0.266742074
Horror,1982,0.156392428
Musical,1982,0
RomCom,1982,0
Thriller,1982,0.05848498
Western,1982,0
Action,1983,0.224083191
Adventure,1983,0.070307827
Comedy,1983,0.076979708
Concert,1983,0
Documentary,1983,0
Drama,1983,0.171122256
Horror,1983,0.249666406
Musical,1983,0.056733999
RomCom,1983,0
Thriller,1983,0.105093636
Western,1983,0.046012976
Action,1984,0.184966786
Adventure,1984,0.167951405
Comedy,1984,0.25313488
Concert,1984,0
Documentary,1984,0
Drama,1984,0.15075841
Horror,1984,0.107420696
Musical,1984,0.037405421
RomCom,1984,0
Thriller,1984,0.098362403
Western,1984,0
Action,1985,0.202596651
Adventure,1985,0.150410473
Comedy,1985,0.064120647
Concert,1985,0
Documentary,1985,0
Drama,1985,0.188419949
Horror,1985,0.226140103
Musical,1985,0
RomCom,1985,0
Thriller,1985,0.060504141
Western,1985,0.107808036
Action,1986,0.197063369
Adventure,1986,0.110123648
Comedy,1986,0.202936631
Concert,1986,0
Documentary,1986,0
Drama,1986,0.286630603
Horror,1986,0.145556414
Musical,1986,0.057689335
RomCom,1986,0
Thriller,1986,0
Western,1986,0
Action,1987,0.344170288
Adventure,1987,0.060162212
Comedy,1987,0.194346532
Concert,1987,0
Documentary,1987,0
Drama,1987,0.168851169
Horror,1987,0.183771945
Musical,1987,0
RomCom,1987,0
Thriller,1987,0.048697854
Western,1987,0
Action,1988,0.168353409
Adventure,1988,0.041537315
Comedy,1988,0.272755495
Concert,1988,0
Documentary,1988,0
Drama,1988,0.212964113
Horror,1988,0.226592574
Musical,1988,0
RomCom,1988,0
Thriller,1988,0.047280517
Western,1988,0.030516578
Action,1989,0.357361564
Adventure,1989,0.100521173
Comedy,1989,0.193648208
Concert,1989,0
Documentary,1989,0.055960912
Drama,1989,0.193224756
Horror,1989,0.073941368
Musical,1989,0
RomCom,1989,0
Thriller,1989,0.02534202
Western,1989,0
Action,1990,0.270764323
Adventure,1990,0.07588026
Comedy,1990,0.159428291
Concert,1990,0
Documentary,1990,0
Drama,1990,0.185406699
Horror,1990,0.061066127
Musical,1990,0
RomCom,1990,0.037357379
Thriller,1990,0.126640903
Western,1990,0.083456018
Action,1991,0.206932421
Adventure,1991,0.172572311
Comedy,1991,0.179618818
Concert,1991,0
Documentary,1991,0
Drama,1991,0.197033756
Horror,1991,0.050063754
Musical,1991,0.034662103
RomCom,1991,0
Thriller,1991,0.159116838
Western,1991,0
Action,1992,0.241946584
Adventure,1992,0
Comedy,1992,0.451417336
Concert,1992,0
Documentary,1992,0
Drama,1992,0.215140095
Horror,1992,0.059446174
Musical,1992,0
RomCom,1992,0
Thriller,1992,0.032049812
Western,1992,0
Action,1993,0.205804939
Adventure,1993,0.057522971
Comedy,1993,0.143161371
Concert,1993,0
Documentary,1993,0
Drama,1993,0.330613515
Horror,1993,0.11724732
Musical,1993,0
RomCom,1993,0
Thriller,1993,0.109327144
Western,1993,0.036322741
Action,1994,0.176067673
Adventure,1994,0.068048501
Comedy,1994,0.33012018
Concert,1994,0
Documentary,1994,0.031708277
Drama,1994,0.223764218
Horror,1994,0.072823521
Musical,1994,0
RomCom,1994,0.028936262
Thriller,1994,0.051130267
Western,1994,0.017401102
Action,1995,0.184153773
Adventure,1995,0.117887504
Comedy,1995,0.147591343
Concert,1995,0
Documentary,1995,0
Drama,1995,0.400406249
Horror,1995,0.034518645
Musical,1995,0
RomCom,1995,0.032800863
Thriller,1995,0.068874288
Western,1995,0.013767335
Action,1996,0.14676961
Adventure,1996,0.091133005
Comedy,1996,0.193861311
Concert,1996,0
Documentary,1996,0
Drama,1996,0.354622963
Horror,1996,0.025521031
Musical,1996,0.023976885
RomCom,1996,0.082531262
Thriller,1996,0.081583933
Western,1996,0
Action,1997,0.154498324
Adventure,1997,0.029293677
Comedy,1997,0.183226787
Concert,1997,0
Documentary,1997,0
Drama,1997,0.40254931
Horror,1997,0.040100959
Musical,1997,0.026613783
RomCom,1997,0.044963748
Thriller,1997,0.118753411
Western,1997,0
Action,1998,0.116682585
Adventure,1998,0.112666782
Comedy,1998,0.270028364
Concert,1998,0
Documentary,1998,0
Drama,1998,0.357666927
Horror,1998,0.042335967
Musical,1998,0.010549622
RomCom,1998,0.042943764
Thriller,1998,0.047125988
Western,1998,0
Action,1999,0.070481793
Adventure,1999,0.059987583
Comedy,1999,0.309895661
Concert,1999,0
Documentary,1999,0.016570123
Drama,1999,0.346061808
Horror,1999,0.044936438
Musical,1999,0.007932442
RomCom,1999,0.063712696
Thriller,1999,0.073290697
Western,1999,0.007130759
Action,2000,0.102620965
Adventure,2000,0.080527268
Comedy,2000,0.284923535
Concert,2000,0.008178689
Documentary,2000,0.007764728
Drama,2000,0.337786372
Horror,2000,0.033619558
Musical,2000,0.020360974
RomCom,2000,0.042235863
Thriller,2000,0.062295237
Western,2000,0.019686809
Action,2001,0.104730578
Adventure,2001,0.1002988
Comedy,2001,0.256158037
Concert,2001,0
Documentary,2001,0
Drama,2001,0.321096771
Horror,2001,0.034506353
Musical,2001,0.0187817
RomCom,2001,0.066206749
Thriller,2001,0.090380656
Western,2001,0.007840356
Action,2002,0.095229033
Adventure,2002,0.116018434
Comedy,2002,0.218016109
Concert,2002,0.003374034
Documentary,2002,0.019225824
Drama,2002,0.337732608
Horror,2002,0.02363367
Musical,2002,0.014601957
RomCom,2002,0.065155895
Thriller,2002,0.107012437
Western,2002,0
Action,2003,0.120987843
Adventure,2003,0.090679303
Comedy,2003,0.211197973
Concert,2003,0.005325107
Documentary,2003,0.001689021
Drama,2003,0.379513585
Horror,2003,0.064528804
Musical,2003,0.0082633
RomCom,2003,0.044864614
Thriller,2003,0.05652355
Western,2003,0.0164269
Action,2004,0.092818923
Adventure,2004,0.107172421
Comedy,2004,0.259374679
Concert,2004,0
Documentary,2004,0.04545184
Drama,2004,0.295585745
Horror,2004,0.04862768
Musical,2004,0.00542652
RomCom,2004,0.067747642
Thriller,2004,0.067942413
Western,2004,0.009852137
Action,2005,0.124816337
Adventure,2005,0.117896712
Comedy,2005,0.169476213
Concert,2005,0
Documentary,2005,0.050839886
Drama,2005,0.354891391
Horror,2005,0.06068819
Musical,2005,0.019309427
RomCom,2005,0.024154158
Thriller,2005,0.077927686
Western,2005,0
Action,2006,0.103864745
Adventure,2006,0.062982
Comedy,2006,0.233520702
Concert,2006,0
Documentary,2006,0.044994641
Drama,2006,0.342534065
Horror,2006,0.063673148
Musical,2006,0.015144026
RomCom,2006,0.033048271
Thriller,2006,0.095632204
Western,2006,0.004606198
Action,2007,0.11940956
Adventure,2007,0.068005398
Comedy,2007,0.186478107
Concert,2007,0
Documentary,2007,0.038868194
Drama,2007,0.33064732
Horror,2007,0.071786264
Musical,2007,0.020616315
RomCom,2007,0.065194843
Thriller,2007,0.078282885
Western,2007,0.020711115
Action,2008,0.13525199
Adventure,2008,0.113887513
Comedy,2008,0.253994517
Concert,2008,0.018695426
Documentary,2008,0.030017753
Drama,2008,0.281530416
Horror,2008,0.035790631
Musical,2008,0.004879168
RomCom,2008,0.032849845
Thriller,2008,0.084811778
Western,2008,0.008290963
Action,2009,0.125400083
Adventure,2009,0.18017887
Comedy,2009,0.186488308
Concert,2009,0
Documentary,2009,0.011010888
Drama,2009,0.258495536
Horror,2009,0.065284308
Musical,2009,0.00396637
RomCom,2009,0.020628187
Thriller,2009,0.148547451
Western,2009,0
Action,2010,0.140724077
Adventure,2010,0.129953842
Comedy,2010,0.190950205
Concert,2010,0
Documentary,2010,0.01708784
Drama,2010,0.254802313
Horror,2010,0.060984707
Musical,2010,0
RomCom,2010,0.049410201
Thriller,2010,0.156086815
Western,2010,0
