genre,date,popularity
Action,1960,0.632623602
Adventure,1960,0
Comedy,1960,0
Concert,1960,0
Documentary,1960,0
Drama,1960,0
Horror,1960,0
Musical,1960,0
RomCom,1960,0
Thriller,1960,0
Western,1960,0.367376398
Action,1962,0.370215574
Adventure,1962,0.409810823
Comedy,1962,0
Concert,1962,0
Documentary,1962,0
Drama,1962,0.219973603
Horror,1962,0
Musical,1962,0
RomCom,1962,0
Thriller,1962,0
Western,1962,0
Action,1963,0.575973211
Adventure,1963,0
Comedy,1963,0
Concert,1963,0
Documentary,1963,0
Drama,1963,0.424026789
Horror,1963,0
Musical,1963,0
RomCom,1963,0
Thriller,1963,0
Western,1963,0
Action,1964,0.3790756
Adventure,1964,0
Comedy,1964,0.2069748
Concert,1964,0
Documentary,1964,0
Drama,1964,0
Horror,1964,0
Musical,1964,0.4139496
RomCom,1964,0
Thriller,1964,0
Western,1964,0
Action,1965,0.273319254
Adventure,1965,0
Comedy,1965,0
Concert,1965,0
Documentary,1965,0
Drama,1965,0.450721577
Horror,1965,0
Musical,1965,0
RomCom,1965,0
Thriller,1965,0
Western,1965,0.275959169
Action,1967,0.194807079
Adventure,1967,0
Comedy,1967,0.158543661
Concert,1967,0
Documentary,1967,0
Drama,1967,0
Horror,1967,0
Musical,1967,0
RomCom,1967,0
Thriller,1967,0
Western,1967,0.64664926
Action,1968,0
Adventure,1968,0.203181119
Comedy,1968,0
Concert,1968,0
Documentary,1968,0
Drama,1968,0
Horror,1968,0.263896015
Musical,1968,0.266461433
RomCom,1968,0
Thriller,1968,0
Western,1968,0.266461433
Action,1969,0.189759831
Adventure,1969,0
Comedy,1969,0
Concert,1969,0
Documentary,1969,0
Drama,1969,0
Horror,1969,0
Musical,1969,0.10530483
RomCom,1969,0
Thriller,1969,0
Western,1969,0.704935339
Action,1970,0
Adventure,1970,0
Comedy,1970,0.622889306
Concert,1970,0
Documentary,1970,0
Drama,1970,0
Horror,1970,0
Musical,1970,0
RomCom,1970,0
Thriller,1970,0
Western,1970,0.377110694
Action,1971,0.285328533
Adventure,1971,0
Comedy,1971,0.348334833
Concert,1971,0
Documentary,1971,0
Drama,1971,0
Horror,1971,0
Musical,1971,0.366336634
RomCom,1971,0
Thriller,1971,0
Western,1971,0
Action,1972,0
Adventure,1972,0
Comedy,1972,0.271812993
Concert,1972,0
Documentary,1972,0
Drama,1972,0.32970916
Horror,1972,0
Musical,1972,0
RomCom,1972,0
Thriller,1972,0
Western,1972,0.398477847
Action,1973,0.199141767
Adventure,1973,0
Comedy,1973,0.538938334
Concert,1973,0
Documentary,1973,0
Drama,1973,0
Horror,1973,0.261919898
Musical,1973,0
RomCom,1973,0
Thriller,1973,0
Western,1973,0
Action,1974,0.129954667
Adventure,1974,0.150296408
Comedy,1974,0.34825061
Concert,1974,0
Documentary,1974,0
Drama,1974,0
Horror,1974,0.163663838
Musical,1974,0
RomCom,1974,0
Thriller,1974,0.207834476
Western,1974,0
Action,1975,0
Adventure,1975,0
Comedy,1975,0.346669334
Concert,1975,0
Documentary,1975,0
Drama,1975,0
Horror,1975,0.367673535
Musical,1975,0.285657131
RomCom,1975,0
Thriller,1975,0
Western,1975,0
Action,1976,0
Adventure,1976,0
Comedy,1976,0.234557867
Concert,1976,0
Documentary,1976,0
Drama,1976,0.302828349
Horror,1976,0.462613784
Musical,1976,0
RomCom,1976,0
Thriller,1976,0
Western,1976,0
Action,1977,0.276859095
Adventure,1977,0.268640459
Comedy,1977,0.309535598
Concert,1977,0
Documentary,1977,0
Drama,1977,0
Horror,1977,0.02336865
Musical,1977,0.121596198
RomCom,1977,0
Thriller,1977,0
Western,1977,0
Action,1978,0.142086782
Adventure,1978,0.159016805
Comedy,1978,0
Concert,1978,0
Documentary,1978,0
Drama,1978,0.131176323
Horror,1978,0.3029847
Musical,1978,0.26473539
RomCom,1978,0
Thriller,1978,0
Western,1978,0
Action,1979,0.393525777
Adventure,1979,0.092502075
Comedy,1979,0.214792954
Concert,1979,0
Documentary,1979,0
Drama,1979,0
Horror,1979,0.299179194
Musical,1979,0
RomCom,1979,0
Thriller,1979,0
Western,1979,0
Action,1980,0.200486691
Adventure,1980,0.112038141
Comedy,1980,0.157975765
Concert,1980,0
Documentary,1980,0
Drama,1980,0.272894319
Horror,1980,0.17625149
Musical,1980,0.080353596
RomCom,1980,0
Thriller,1980,0
Western,1980,0
Action,1981,0.191423982
Adventure,1981,0.269117955
Comedy,1981,0.195195195
Concert,1981,0
Documentary,1981,0
Drama,1981,0.197534744
Horror,1981,0.047000489
Musical,1981,0
RomCom,1981,0
Thriller,1981,0.079963685
Western,1981,0.01976395
Action,1982,0.20705945
